programa_publicado,archivo_csv,registros,razones_sociales_unicas,programa_interno_csv,tipo_financiamiento,monto_maximo_clp,programa_monetario
Promoción y Canales,Promoción y canales de comercialización.csv,626,614,Promoción y Canales de Comercialización,cofinanciamiento variable,,True
Pymes Globales,Pymes Globales 2025.csv,25,25,Pymes Globales,servicio/entrenamiento sin monto individual publicado,,False
