razon_social_publicada,tipo_aparente,programa_publicado,programa_interno_csv,archivo_csv,anio,mes,fecha_otorgamiento,fecha_acto,numero_acto,monto_maximo_programa_clp,tipo_financiamiento
MAPU KIMUN SPA,empresa/razon social con forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,20-10-2025,20-10-2025,CER-D14-015315,9000000.0,subsidio directo
MAPU KIMUN SPA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,27-08-2025,27-08-2025,CER-D14-015186,1200000.0,subsidio directo
MAPU KIMUN SPA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,noviembre,27-11-2025,27-11-2025,CER-D14-015430,1200000.0,subsidio directo
MARJOBA SPA,empresa/razon social con forma societaria visible,Digitaliza tu Almacén,Digitaliza Tu Almacén,Digitaliza tu almacén 2025.csv,2025,mayo,29-05-2025,29-05-2025,CER-D03-014972,3000000.0,subsidio directo
MARJOBA SPA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,19-08-2025,19-08-2025,CER-D03-015170,1200000.0,subsidio directo
MÁRQUEZ ARAYA SPA,empresa/razon social con forma societaria visible,Crece,Crece,Crece; Fondo de desarrollo de negocios.csv,2025,agosto,18-08-2025,18-08-2025,CER-D13-015156,5000000.0,subsidio directo
MÁRQUEZ ARAYA SPA,empresa/razon social con forma societaria visible,Mejora Negocios,Mejora Negocios,Mejora Negocios 2025.csv,2025,octubre,08-10-2025,08-10-2025,CER-D801-015299,1500000.0,subsidio/cofinanciamiento de asesoría
MIRIAM JUANA AGUILAR VILCA,persona natural o razon social sin forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,29-10-2025,29-10-2025,CER-D02-015370,9000000.0,subsidio directo
MIRIAM JUANA AGUILAR VILCA,persona natural o razon social sin forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,27-08-2025,27-08-2025,CER-D02-015193,1200000.0,subsidio directo
MIRIAM JUANA AGUILAR VILCA,persona natural o razon social sin forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,29-08-2025,29-08-2025,CER-D02-015201,1200000.0,subsidio directo
ORIGINAL ROOTS SPA,empresa/razon social con forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,10-10-2025,10-10-2025,CER-D03-015309,9000000.0,subsidio directo
ORIGINAL ROOTS SPA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,19-08-2025,19-08-2025,CER-D03-015170,1200000.0,subsidio directo
PANEL SIP BIOBIO SPA,empresa/razon social con forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,15-10-2025,15-10-2025,CER-D08-015334,9000000.0,subsidio directo
Panel Sip Biobio SpA,empresa/razon social con forma societaria visible,Negocios Digitales,Negocios Digitales,Negocios Digitales 2025.csv,2025,octubre,08-10-2025,08-10-2025,014-2025,1500000.0,apoyo monetario por componentes
PAOLA VERÓNICA MIRANDA OYANEDEL,persona natural o razon social sin forma societaria visible,Crece,Crece,Crece; Fondo de desarrollo de negocios.csv,2025,agosto,18-08-2025,18-08-2025,CER-D04-015153,5000000.0,subsidio directo
PAOLA VERÓNICA MIRANDA OYANEDEL,persona natural o razon social sin forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,septiembre,08-09-2025,08-09-2025,CER-D04-015221,1200000.0,subsidio directo
PHYSALIS SPA,empresa/razon social con forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,15-10-2025,15-10-2025,CER-D13-015331,9000000.0,subsidio directo
PHYSALIS SPA,empresa/razon social con forma societaria visible,Negocios Digitales,Negocios Digitales,Negocios Digitales 2025.csv,2025,octubre,08-10-2025,08-10-2025,014-2025,1500000.0,apoyo monetario por componentes
PRINT SOLUTIONS SPA,empresa/razon social con forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,14-10-2025,14-10-2025,CER-D05-015322,9000000.0,subsidio directo
Print solutions spa,empresa/razon social con forma societaria visible,Negocios Digitales,Negocios Digitales,Negocios Digitales 2025.csv,2025,octubre,08-10-2025,08-10-2025,014-2025,1500000.0,apoyo monetario por componentes
Proyectos Tecnológicos y Domótica SPA,empresa/razon social con forma societaria visible,Negocios Digitales,Negocios Digitales,Negocios Digitales 2025.csv,2025,octubre,08-10-2025,08-10-2025,014-2025,1500000.0,apoyo monetario por componentes
PROYECTOS TECNOLÓGICOS Y DOMÓTICA SPA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,septiembre,11-09-2025,11-09-2025,CER-D06-015234,1200000.0,subsidio directo
RENTAS E INVERSIONES SAN MARINO S.A.,empresa/razon social con forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,15-10-2025,15-10-2025,CER-D13-015331,9000000.0,subsidio directo
RENTAS E INVERSIONES SAN MARINO S.A.,empresa/razon social con forma societaria visible,Mejora Negocios,Mejora Negocios,Mejora Negocios 2025.csv,2025,octubre,08-10-2025,08-10-2025,CER-D801-015299,1500000.0,subsidio/cofinanciamiento de asesoría
RESTAURANT EL BOSQUE LIMITADA,empresa/razon social con forma societaria visible,Crece,Crece,Crece; Fondo de desarrollo de negocios.csv,2025,agosto,18-08-2025,18-08-2025,CER-D04-015153,5000000.0,subsidio directo
RESTAURANT EL BOSQUE LIMITADA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,septiembre,08-09-2025,08-09-2025,CER-D04-015221,1200000.0,subsidio directo
RICHARD EDUARDO HERNÁNDEZ PALAPE,persona natural o razon social sin forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,21-10-2025,21-10-2025,CER-D15-015346,9000000.0,subsidio directo
RICHARD EDUARDO HERNÁNDEZ PALAPE,persona natural o razon social sin forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,29-08-2025,29-08-2025,CER-D15-015182,1200000.0,subsidio directo
SARA DEL CARMEN GONZALEZ FIGUEROA,persona natural o razon social sin forma societaria visible,Crece,Crece,Crece; Fondo de desarrollo de negocios.csv,2025,agosto,27-08-2025,27-08-2025,CER-D09-015196,5000000.0,subsidio directo
SARA DEL CARMEN GONZALEZ FIGUEROA,persona natural o razon social sin forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,27-08-2025,27-08-2025,CER-D09-015195,1200000.0,subsidio directo
SERVICIO Y TRANSPORTE MERCATUR LIMITADA,empresa/razon social con forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,10-10-2025,10-10-2025,CER-D03-015309,9000000.0,subsidio directo
SERVICIO Y TRANSPORTE MERCATUR LIMITADA,empresa/razon social con forma societaria visible,Mejora Negocios,Mejora Negocios,Mejora Negocios 2025.csv,2025,octubre,08-10-2025,08-10-2025,CER-D801-015299,1500000.0,subsidio/cofinanciamiento de asesoría
SERVICIO Y TRANSPORTE MERCATUR LIMITADA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,19-08-2025,19-08-2025,CER-D03-015170,1200000.0,subsidio directo
SERVICIOS CASTILLO VALENZUELA SPA,empresa/razon social con forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,29-10-2025,29-10-2025,CER-D02-015370,9000000.0,subsidio directo
SERVICIOS CASTILLO VALENZUELA SPA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,27-08-2025,27-08-2025,CER-D02-015193,1200000.0,subsidio directo
SERVICIOS CASTILLO VALENZUELA SPA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,29-08-2025,29-08-2025,CER-D02-015201,1200000.0,subsidio directo
SOCIEDAD COMERCIAL KLENER Y MARCHANT LIMITADA,empresa/razon social con forma societaria visible,Crece,Crece,Crece; Fondo de desarrollo de negocios.csv,2025,julio,11-07-2025,11-07-2025,CER-D03-015081,5000000.0,subsidio directo
SOCIEDAD COMERCIAL KLENER Y MARCHANT LIMITADA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,19-08-2025,19-08-2025,CER-D03-015170,1200000.0,subsidio directo
SOCIEDAD DE CAPACITACIÓN CREACAPACITA LIMITADA,empresa/razon social con forma societaria visible,Mejora Negocios,Mejora Negocios,Mejora Negocios 2025.csv,2025,octubre,08-10-2025,08-10-2025,CER-D801-015299,1500000.0,subsidio/cofinanciamiento de asesoría
SOCIEDAD DE CAPACITACIÓN CREACAPACITA LIMITADA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,19-08-2025,19-08-2025,CER-D07-015166,1200000.0,subsidio directo
SOCIEDAD DE INVERSIONES Y CONSTRUCCIÓN G Y TEC LIMITADA,empresa/razon social con forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,20-10-2025,20-10-2025,CER-D06-015338,9000000.0,subsidio directo
SOCIEDAD DE INVERSIONES Y CONSTRUCCIÓN G Y TEC LIMITADA,empresa/razon social con forma societaria visible,Mejora Negocios,Mejora Negocios,Mejora Negocios 2025.csv,2025,octubre,08-10-2025,08-10-2025,CER-D801-015299,1500000.0,subsidio/cofinanciamiento de asesoría
SOCIEDAD LA CANTINA SPA,empresa/razon social con forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,noviembre,07-11-2025,07-11-2025,CER-D09-015401,9000000.0,subsidio directo
SOCIEDAD LA CANTINA SPA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,27-08-2025,27-08-2025,CER-D09-015195,1200000.0,subsidio directo
SOCIEDAD PUELCHE SERVICIOS INTEGRALES SPA,empresa/razon social con forma societaria visible,Crece,Crece,Crece; Fondo de desarrollo de negocios.csv,2025,agosto,01-08-2025,01-08-2025,CER-D16-015122,5000000.0,subsidio directo
SOCIEDAD PUELCHE SERVICIOS INTEGRALES SPA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,21-08-2025,21-08-2025,CER-D16-015157,1200000.0,subsidio directo
SOCIEDAD ZAZZALI Y VILLALOBOS LIMITADA,empresa/razon social con forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,10-10-2025,10-10-2025,CER-D03-015309,9000000.0,subsidio directo
SOCIEDAD ZAZZALI Y VILLALOBOS LIMITADA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,19-08-2025,19-08-2025,CER-D03-015170,1200000.0,subsidio directo
SUTRATO LIMITADA,empresa/razon social con forma societaria visible,Mejora Negocios,Mejora Negocios,Mejora Negocios 2025.csv,2025,octubre,08-10-2025,08-10-2025,CER-D801-015299,1500000.0,subsidio/cofinanciamiento de asesoría
SUTRATO LIMITADA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,29-08-2025,29-08-2025,CER-D15-015182,1200000.0,subsidio directo
TELAPINTO SPA,empresa/razon social con forma societaria visible,Crece,Crece,Crece; Fondo de desarrollo de negocios.csv,2025,agosto,26-08-2025,26-08-2025,CER-D10-015185,5000000.0,subsidio directo
TELAPINTO SPA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,20-08-2025,20-08-2025,CER-D10-015172,1200000.0,subsidio directo
TURISMO MARIA FRANCISCA ZUNIGA URZUA E.I.R.L,empresa/razon social con forma societaria visible,Crece,Crece,Crece; Fondo de desarrollo de negocios.csv,2025,septiembre,22-09-2025,22-09-2025,CER-D11-015230,5000000.0,subsidio directo
TURISMO MARIA FRANCISCA ZUNIGA URZUA E.I.R.L,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,septiembre,22-09-2025,22-09-2025,CER-D11-015250,1200000.0,subsidio directo
TURISMO RÍO NEGRO LIMITADA,empresa/razon social con forma societaria visible,Crece,Crece,Crece; Fondo de desarrollo de negocios.csv,2025,agosto,26-08-2025,26-08-2025,CER-D10-015185,5000000.0,subsidio directo
Turismo Río Negro Limitada,empresa/razon social con forma societaria visible,Negocios Digitales,Negocios Digitales,Negocios Digitales 2025.csv,2025,octubre,08-10-2025,08-10-2025,014-2025,1500000.0,apoyo monetario por componentes
VEGAN PROBIOTIC SPA,empresa/razon social con forma societaria visible,Mejora Negocios,Mejora Negocios,Mejora Negocios 2025.csv,2025,octubre,08-10-2025,08-10-2025,CER-D801-015299,1500000.0,subsidio/cofinanciamiento de asesoría
Vegan Probiotic SpA,empresa/razon social con forma societaria visible,Negocios Digitales,Negocios Digitales,Negocios Digitales 2025.csv,2025,octubre,08-10-2025,08-10-2025,014-2025,1500000.0,apoyo monetario por componentes
VENTA COMIDA RAPIDA GONZALO ARRAU E.I.R.L,empresa/razon social con forma societaria visible,Crece,Crece,Crece; Fondo de desarrollo de negocios.csv,2025,septiembre,05-09-2025,05-09-2025,CER-D08-015214,5000000.0,subsidio directo
VENTA COMIDA RAPIDA GONZALO ARRAU E.I.R.L,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,25-08-2025,25-08-2025,CER-D08-015173,1200000.0,subsidio directo
