razon_social_publicada,tipo_aparente,programa_publicado,programa_interno_csv,archivo_csv,anio,mes,fecha_otorgamiento,fecha_acto,numero_acto,monto_maximo_programa_clp,tipo_financiamiento
COMERCIAL YESICA VARGAS VILLARROEL EIRL,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,noviembre,27-11-2025,27-11-2025,CER-D14-015430,1200000.0,subsidio directo
COMERCIALIZADORA DE PRODUCTOS MAGICSHINE LTDA.,empresa/razon social con forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,15-10-2025,15-10-2025,CER-D13-015331,9000000.0,subsidio directo
COMERCIALIZADORA DE PRODUCTOS MAGICSHINE LTDA.,empresa/razon social con forma societaria visible,Mejora Negocios,Mejora Negocios,Mejora Negocios 2025.csv,2025,octubre,08-10-2025,08-10-2025,CER-D801-015299,1500000.0,subsidio/cofinanciamiento de asesoría
CONSTRUCCIÓN ARTURO CESAR DELGADO ARAYA EIRL,empresa/razon social con forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,20-10-2025,20-10-2025,CER-D01-015289,9000000.0,subsidio directo
CONSTRUCCIÓN ARTURO CESAR DELGADO ARAYA EIRL,empresa/razon social con forma societaria visible,Mejora Negocios,Mejora Negocios,Mejora Negocios 2025.csv,2025,octubre,08-10-2025,08-10-2025,CER-D801-015299,1500000.0,subsidio/cofinanciamiento de asesoría
CONSULTORA DEL VALLE SPA,empresa/razon social con forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,15-10-2025,15-10-2025,CER-D13-015331,9000000.0,subsidio directo
CONSULTORA DEL VALLE SPA,empresa/razon social con forma societaria visible,Mejora Negocios,Mejora Negocios,Mejora Negocios 2025.csv,2025,octubre,08-10-2025,08-10-2025,CER-D801-015299,1500000.0,subsidio/cofinanciamiento de asesoría
COSMÉTICA NATURAL DENISSE VALERY SILVA SILVA E.I.R.L.,empresa/razon social con forma societaria visible,Crece,Crece,Crece; Fondo de desarrollo de negocios.csv,2025,octubre,14-10-2025,14-10-2025,CER-D15-015291,5000000.0,subsidio directo
COSMÉTICA NATURAL DENISSE VALERY SILVA SILVA E.I.R.L.,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,29-08-2025,29-08-2025,CER-D15-015182,1200000.0,subsidio directo
CROMA SPA,empresa/razon social con forma societaria visible,Crece,Crece,Crece; Fondo de desarrollo de negocios.csv,2025,agosto,27-08-2025,27-08-2025,CER-D09-015196,5000000.0,subsidio directo
CROMA SPA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,27-08-2025,27-08-2025,CER-D09-015195,1200000.0,subsidio directo
DENISSE SOLEDAD CANQUE CHOQUE,persona natural o razon social sin forma societaria visible,Digitaliza tu Almacén,Digitaliza Tu Almacén,Digitaliza tu almacén 2025.csv,2025,julio,01-07-2025,01-07-2025,CER-D15-015042,3000000.0,subsidio directo
DENISSE SOLEDAD CANQUE CHOQUE,persona natural o razon social sin forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,29-08-2025,29-08-2025,CER-D15-015182,1200000.0,subsidio directo
